mandarin,shanghainese,aliases,weight,enabled,category,note,source,status
会说,讲得来,说得来,145,true,verb,表达能力,manual,approved
上海话,上海言话,沪语,150,true,noun,方言名称,manual,approved
说话,讲话,,130,true,verb,日常动作,manual,approved
聊天,讲闲话,,140,true,verb,日常动作,manual,approved
睡觉,困觉,,158,true,life,起居表达,manual,approved
起床,起身,,140,true,life,起居表达,manual,approved
吃饭了吗,吃过了伐,吃过饭了吗,165,true,greeting,日常寒暄,manual,approved
很棒,老灵额,真棒,158,true,response,夸赞表达,manual,approved
厉害,结棍,,160,true,response,口语夸赞,manual,approved
真厉害,老结棍,,152,true,response,口语夸赞,manual,approved
真好,老好额,,148,true,response,口语夸赞,manual,approved
高兴,开心,开心,132,true,emotion,情绪表达,manual,approved
着急,急,,132,true,emotion,情绪表达,manual,approved
别着急,勿要急,别急,150,true,response,安慰表达,manual,approved
慢一点,慢眼,慢点,140,true,response,节奏表达,manual,approved
一起,一道,一块,145,true,phrase,共同动作,manual,approved
一起去,一道去,,145,true,phrase,共同动作,manual,approved
玩,白相,,150,true,verb,口语表达,manual,approved
去玩,去白相,,145,true,phrase,口语表达,manual,approved
帮忙,帮忙,,125,true,verb,通用词,manual,approved
帮帮忙,帮帮忙,,135,true,phrase,请求表达,manual,approved
开玩笑,寻开心,,145,true,phrase,口语表达,manual,approved
胡说,瞎讲,,145,true,response,口语表达,manual,approved
别胡说,勿要瞎讲,,150,true,response,口语表达,manual,approved
真的吗,真个伐,真的吗？,150,true,question,确认表达,manual,approved
当然,当然,,120,true,response,通用词,manual,approved
马上,马上,,118,true,time,通用词,manual,approved
等一下,等一歇,等一会儿|稍等一下,150,true,time,时间表达,manual,approved
一会儿,一歇,一会,145,true,time,时间表达,manual,approved
怎么了,哪能了,怎么啦,155,true,question,高频短句,manual,approved
怎么办,哪能办,,150,true,question,高频短句,manual,approved
什么事,啥事体,什么事情,150,true,question,高频短句,manual,approved
没什么事,呒没啥事体,没啥事,145,true,response,常用回应,manual,approved
有事情,有事体,有事,135,true,phrase,常用表达,manual,approved
上班,做生活,工作,142,true,life,常用表达,manual,approved
下班,收工,,140,true,life,常用表达,manual,approved
回来了,转来了,,140,true,phrase,状态表达,manual,approved
在家,勒屋里,,145,true,position,位置表达,manual,approved
到家了,到屋里了,回到家了,145,true,phrase,位置表达,manual,approved
外面,外头,,132,true,position,位置表达,manual,approved
里面,里向,,132,true,position,位置表达,manual,approved
这边,搿边,,135,true,position,位置表达,manual,approved
那边,埃边,,135,true,position,位置表达,manual,approved
时间,辰光,,138,true,time,常用名词,manual,approved
一点点,一眼眼,,132,true,phrase,数量表达,manual,approved
全部,侪,都,136,true,phrase,数量表达,manual,approved
谁,啥人,谁啊,145,true,question,疑问词,manual,approved
多少,几许,,145,true,question,疑问词,manual,approved
很多,老多,,140,true,quantity,数量表达,manual,approved
太多了,忒多了,,140,true,quantity,数量表达,manual,approved
还没有,还呒没,,145,true,response,状态表达,manual,approved
已经,已经,,118,true,time,通用词,manual,approved
真的,真个,,138,true,response,口语表达,manual,approved
可能,可能,,118,true,response,通用词,manual,approved
不一定,勿一定,,140,true,response,常用回应,manual,approved
小心,当心,,138,true,response,提醒表达,manual,approved
别担心,勿要担心,不要担心,145,true,response,安慰表达,manual,approved
热,热,,118,true,weather,通用词,manual,approved
冷,冷,,118,true,weather,通用词,manual,approved
太热了,忒热了,,140,true,weather,天气表达,manual,approved
太冷了,忒冷了,,140,true,weather,天气表达,manual,approved
今天很热,今朝蛮热,,145,true,weather,天气表达,manual,approved
今天很冷,今朝蛮冷,,145,true,weather,天气表达,manual,approved
下雨了,落雨了,,145,true,weather,天气表达,manual,approved
雨很大,雨老大,,138,true,weather,天气表达,manual,approved
风很大,风老大,,138,true,weather,天气表达,manual,approved
出太阳了,出日头了,,145,true,weather,天气表达,manual,approved
天气很好,天气蛮好,,140,true,weather,天气表达,manual,approved
明天下雨,明朝落雨,,145,true,weather,天气表达,manual,approved
昨天下雨了,昨朝落雨了,,145,true,weather,天气表达,manual,approved
明天见,明朝再会,明天再见,150,true,courtesy,告别表达,manual,approved
回头见,回头再会,,145,true,courtesy,告别表达,manual,approved
好久不见,老久勿见,,150,true,greeting,重逢问候,manual,approved
没听懂,勿曾听懂,没有听懂,145,true,response,理解表达,manual,approved
听不懂,听勿懂,,145,true,response,理解表达,manual,approved
看不懂,看勿懂,,145,true,response,理解表达,manual,approved
学不会,学勿会,,145,true,response,能力表达,manual,approved
记不住,记勿牢,,145,true,response,记忆表达,manual,approved
想不起来,想勿起来,,145,true,response,记忆表达,manual,approved
没办法,呒没办法,没有办法,150,true,response,常用回应,manual,approved
别这样,勿要介样,不要这样,145,true,response,常用回应,manual,approved
就这样,就介样,,138,true,response,常用回应,manual,approved
这么多,介许多,,140,true,quantity,数量表达,manual,approved
这么久,介许久,,140,true,time,时间表达,manual,approved
今天很忙,今朝老忙,,142,true,life,状态表达,manual,approved
你没事吧,侬呒没事伐,,148,true,greeting,关心表达,manual,approved
没问题,呒没问题,,140,true,response,常用回应,manual,approved
别说了,勿要讲了,不要说了,145,true,response,制止表达,manual,approved
别问了,勿要问了,不要问了,145,true,response,制止表达,manual,approved
不用谢,勿用谢,不用谢谢,145,true,courtesy,礼貌表达,manual,approved
不客气,勿要客气,,145,true,courtesy,礼貌表达,manual,approved
请坐,请坐,,120,true,courtesy,通用表达,manual,approved
请进,请进,,120,true,courtesy,通用表达,manual,approved
好的,好额,好,145,true,response,常用回应,manual,approved
好吧,好伐,,140,true,response,常用回应,manual,approved
算了,算了,,125,true,response,通用表达,manual,approved
太好了,忒好了,,145,true,response,夸赞表达,manual,approved
真开心,老开心,,140,true,emotion,情绪表达,manual,approved
我很好,吾蛮好,,150,true,response,组合高频短句,manual,approved
我不知道,吾勿晓得,,165,true,response,组合高频短句,manual,approved
我不要,吾勿要,,155,true,verb,组合高频短句,manual,approved
我没有,吾呒没,,152,true,response,组合高频短句,manual,approved
我喜欢,吾欢喜,,150,true,verb,组合高频短句,manual,approved
我回家,吾转去,,145,true,verb,组合高频短句,manual,approved
我不认识,吾勿认得,,150,true,verb,组合高频短句,manual,approved
我没关系,吾呒没关系,,148,true,response,组合高频短句,manual,approved
我很忙,吾老忙,,140,true,life,组合高频短句,manual,approved
我很开心,吾老开心,,140,true,emotion,组合高频短句,manual,approved
我在家,吾勒屋里,,140,true,position,组合高频短句,manual,approved
我在这里,吾勒搿搭,,140,true,position,组合高频短句,manual,approved
我在那里,吾勒埃搭,,140,true,position,组合高频短句,manual,approved
你很好,侬蛮好,,150,true,response,组合高频短句,manual,approved
你不知道,侬勿晓得,,165,true,response,组合高频短句,manual,approved
你不要,侬勿要,,155,true,verb,组合高频短句,manual,approved
你没有,侬呒没,,152,true,response,组合高频短句,manual,approved
你喜欢,侬欢喜,,150,true,verb,组合高频短句,manual,approved
你回家,侬转去,,145,true,verb,组合高频短句,manual,approved
你不认识,侬勿认得,,150,true,verb,组合高频短句,manual,approved
你没关系,侬呒没关系,,148,true,response,组合高频短句,manual,approved
你很忙,侬老忙,,140,true,life,组合高频短句,manual,approved
你很开心,侬老开心,,140,true,emotion,组合高频短句,manual,approved
你在家,侬勒屋里,,140,true,position,组合高频短句,manual,approved
你在这里,侬勒搿搭,,140,true,position,组合高频短句,manual,approved
你在那里,侬勒埃搭,,140,true,position,组合高频短句,manual,approved
他很好,伊蛮好,,150,true,response,组合高频短句,manual,approved
他不知道,伊勿晓得,,165,true,response,组合高频短句,manual,approved
他不要,伊勿要,,155,true,verb,组合高频短句,manual,approved
他没有,伊呒没,,152,true,response,组合高频短句,manual,approved
他喜欢,伊欢喜,,150,true,verb,组合高频短句,manual,approved
他回家,伊转去,,145,true,verb,组合高频短句,manual,approved
他不认识,伊勿认得,,150,true,verb,组合高频短句,manual,approved
他没关系,伊呒没关系,,148,true,response,组合高频短句,manual,approved
他很忙,伊老忙,,140,true,life,组合高频短句,manual,approved
他很开心,伊老开心,,140,true,emotion,组合高频短句,manual,approved
他在家,伊勒屋里,,140,true,position,组合高频短句,manual,approved
他在这里,伊勒搿搭,,140,true,position,组合高频短句,manual,approved
他在那里,伊勒埃搭,,140,true,position,组合高频短句,manual,approved
她很好,伊蛮好,,150,true,response,组合高频短句,manual,approved
她不知道,伊勿晓得,,165,true,response,组合高频短句,manual,approved
她不要,伊勿要,,155,true,verb,组合高频短句,manual,approved
她没有,伊呒没,,152,true,response,组合高频短句,manual,approved
她喜欢,伊欢喜,,150,true,verb,组合高频短句,manual,approved
她回家,伊转去,,145,true,verb,组合高频短句,manual,approved
她不认识,伊勿认得,,150,true,verb,组合高频短句,manual,approved
她没关系,伊呒没关系,,148,true,response,组合高频短句,manual,approved
她很忙,伊老忙,,140,true,life,组合高频短句,manual,approved
她很开心,伊老开心,,140,true,emotion,组合高频短句,manual,approved
她在家,伊勒屋里,,140,true,position,组合高频短句,manual,approved
她在这里,伊勒搿搭,,140,true,position,组合高频短句,manual,approved
她在那里,伊勒埃搭,,140,true,position,组合高频短句,manual,approved
我们很好,阿拉蛮好,,150,true,response,组合高频短句,manual,approved
我们不知道,阿拉勿晓得,,165,true,response,组合高频短句,manual,approved
我们不要,阿拉勿要,,155,true,verb,组合高频短句,manual,approved
我们没有,阿拉呒没,,152,true,response,组合高频短句,manual,approved
我们喜欢,阿拉欢喜,,150,true,verb,组合高频短句,manual,approved
我们回家,阿拉转去,,145,true,verb,组合高频短句,manual,approved
我们不认识,阿拉勿认得,,150,true,verb,组合高频短句,manual,approved
我们没关系,阿拉呒没关系,,148,true,response,组合高频短句,manual,approved
我们很忙,阿拉老忙,,140,true,life,组合高频短句,manual,approved
我们很开心,阿拉老开心,,140,true,emotion,组合高频短句,manual,approved
我们在家,阿拉勒屋里,,140,true,position,组合高频短句,manual,approved
我们在这里,阿拉勒搿搭,,140,true,position,组合高频短句,manual,approved
我们在那里,阿拉勒埃搭,,140,true,position,组合高频短句,manual,approved
你们很好,侬伲蛮好,,150,true,response,组合高频短句,manual,approved
你们不知道,侬伲勿晓得,,165,true,response,组合高频短句,manual,approved
你们不要,侬伲勿要,,155,true,verb,组合高频短句,manual,approved
你们没有,侬伲呒没,,152,true,response,组合高频短句,manual,approved
你们喜欢,侬伲欢喜,,150,true,verb,组合高频短句,manual,approved
你们回家,侬伲转去,,145,true,verb,组合高频短句,manual,approved
你们不认识,侬伲勿认得,,150,true,verb,组合高频短句,manual,approved
你们没关系,侬伲呒没关系,,148,true,response,组合高频短句,manual,approved
你们很忙,侬伲老忙,,140,true,life,组合高频短句,manual,approved
你们很开心,侬伲老开心,,140,true,emotion,组合高频短句,manual,approved
你们在家,侬伲勒屋里,,140,true,position,组合高频短句,manual,approved
你们在这里,侬伲勒搿搭,,140,true,position,组合高频短句,manual,approved
你们在那里,侬伲勒埃搭,,140,true,position,组合高频短句,manual,approved
我上海话,吾上海言话,,145,true,phrase,主语+情景短句,manual,approved
我朋友,吾朋友,,118,true,phrase,主语+情景短句,manual,approved
我今天下雨了,吾今朝落雨了,,160,true,weather,主语+情景短句,manual,approved
我今天很忙,吾今朝老忙,,145,true,life,主语+情景短句,manual,approved
我今天很好,吾今朝蛮好,,145,true,response,主语+情景短句,manual,approved
我明天回家,吾明朝转去,,145,true,phrase,主语+情景短句,manual,approved
我昨天回家了,吾昨朝转去了,,145,true,phrase,主语+情景短句,manual,approved
我今天回家,吾今朝转去,,145,true,phrase,主语+情景短句,manual,approved
我明天下雨,吾明朝落雨,,145,true,weather,主语+情景短句,manual,approved
我今天很热,吾今朝蛮热,,145,true,weather,主语+情景短句,manual,approved
你上海话,侬上海言话,,145,true,phrase,主语+情景短句,manual,approved
你朋友,侬朋友,,118,true,phrase,主语+情景短句,manual,approved
你今天下雨了,侬今朝落雨了,,160,true,weather,主语+情景短句,manual,approved
你今天很忙,侬今朝老忙,,145,true,life,主语+情景短句,manual,approved
你今天很好,侬今朝蛮好,,145,true,response,主语+情景短句,manual,approved
你明天回家,侬明朝转去,,145,true,phrase,主语+情景短句,manual,approved
你昨天回家了,侬昨朝转去了,,145,true,phrase,主语+情景短句,manual,approved
你今天回家,侬今朝转去,,145,true,phrase,主语+情景短句,manual,approved
你明天下雨,侬明朝落雨,,145,true,weather,主语+情景短句,manual,approved
你今天很热,侬今朝蛮热,,145,true,weather,主语+情景短句,manual,approved
他上海话,伊上海言话,,145,true,phrase,主语+情景短句,manual,approved
他朋友,伊朋友,,118,true,phrase,主语+情景短句,manual,approved
他今天下雨了,伊今朝落雨了,,160,true,weather,主语+情景短句,manual,approved
他今天很忙,伊今朝老忙,,145,true,life,主语+情景短句,manual,approved
他今天很好,伊今朝蛮好,,145,true,response,主语+情景短句,manual,approved
他明天回家,伊明朝转去,,145,true,phrase,主语+情景短句,manual,approved
他昨天回家了,伊昨朝转去了,,145,true,phrase,主语+情景短句,manual,approved
他今天回家,伊今朝转去,,145,true,phrase,主语+情景短句,manual,approved
他明天下雨,伊明朝落雨,,145,true,weather,主语+情景短句,manual,approved
他今天很热,伊今朝蛮热,,145,true,weather,主语+情景短句,manual,approved
她上海话,伊上海言话,,145,true,phrase,主语+情景短句,manual,approved
她朋友,伊朋友,,118,true,phrase,主语+情景短句,manual,approved
她今天下雨了,伊今朝落雨了,,160,true,weather,主语+情景短句,manual,approved
她今天很忙,伊今朝老忙,,145,true,life,主语+情景短句,manual,approved
她今天很好,伊今朝蛮好,,145,true,response,主语+情景短句,manual,approved
她明天回家,伊明朝转去,,145,true,phrase,主语+情景短句,manual,approved
她昨天回家了,伊昨朝转去了,,145,true,phrase,主语+情景短句,manual,approved
她今天回家,伊今朝转去,,145,true,phrase,主语+情景短句,manual,approved
她明天下雨,伊明朝落雨,,145,true,weather,主语+情景短句,manual,approved
她今天很热,伊今朝蛮热,,145,true,weather,主语+情景短句,manual,approved
我们上海话,阿拉上海言话,,145,true,phrase,主语+情景短句,manual,approved
我们朋友,阿拉朋友,,118,true,phrase,主语+情景短句,manual,approved
我们今天下雨了,阿拉今朝落雨了,,160,true,weather,主语+情景短句,manual,approved
我们今天很忙,阿拉今朝老忙,,145,true,life,主语+情景短句,manual,approved
我们今天很好,阿拉今朝蛮好,,145,true,response,主语+情景短句,manual,approved
我们明天回家,阿拉明朝转去,,145,true,phrase,主语+情景短句,manual,approved
我们昨天回家了,阿拉昨朝转去了,,145,true,phrase,主语+情景短句,manual,approved
我们今天回家,阿拉今朝转去,,145,true,phrase,主语+情景短句,manual,approved
我们明天下雨,阿拉明朝落雨,,145,true,weather,主语+情景短句,manual,approved
我们今天很热,阿拉今朝蛮热,,145,true,weather,主语+情景短句,manual,approved
你们上海话,侬伲上海言话,,145,true,phrase,主语+情景短句,manual,approved
你们朋友,侬伲朋友,,118,true,phrase,主语+情景短句,manual,approved
你们今天下雨了,侬伲今朝落雨了,,160,true,weather,主语+情景短句,manual,approved
你们今天很忙,侬伲今朝老忙,,145,true,life,主语+情景短句,manual,approved
你们今天很好,侬伲今朝蛮好,,145,true,response,主语+情景短句,manual,approved
你们明天回家,侬伲明朝转去,,145,true,phrase,主语+情景短句,manual,approved
你们昨天回家了,侬伲昨朝转去了,,145,true,phrase,主语+情景短句,manual,approved
你们今天回家,侬伲今朝转去,,145,true,phrase,主语+情景短句,manual,approved
你们明天下雨,侬伲明朝落雨,,145,true,weather,主语+情景短句,manual,approved
你们今天很热,侬伲今朝蛮热,,145,true,weather,主语+情景短句,manual,approved
你喜欢什么,侬欢喜啥,你喜欢啥,162,true,question,高频问句,manual,approved
你为什么这样,侬做啥介样,,158,true,question,高频问句,manual,approved
你怎么了,侬哪能了,,160,true,question,高频问句,manual,approved
你在哪里,侬勒阿里,你在哪儿,158,true,question,高频问句,manual,approved
你去哪里,侬去阿里,,156,true,question,高频问句,manual,approved
你回家吗,侬转去伐,,156,true,question,高频问句,manual,approved
你知道吗,侬晓得伐,,160,true,question,高频问句,manual,approved
你会说上海话吗,侬上海言话讲得来伐,,180,true,question,公开源高频句,manual,approved
你最近好吗,侬近来好伐,,158,true,greeting,高频问候,manual,approved
你今天好吗,侬今朝好伐,,158,true,greeting,高频问候,manual,approved
你今天忙吗,侬今朝忙伐,,150,true,question,高频问句,manual,approved
你今天回家吗,侬今朝转去伐,,150,true,question,高频问句,manual,approved
你明天来吗,侬明朝来伐,,148,true,question,高频问句,manual,approved
你昨天去哪里了,侬昨朝去阿里了,,148,true,question,高频问句,manual,approved
你吃饭了吗,侬吃过了伐,你吃过饭了吗,166,true,greeting,高频寒暄,manual,approved
你吃过了吗,侬吃过了伐,,164,true,greeting,高频寒暄,manual,approved
你在家吗,侬勒屋里伐,,150,true,question,高频问句,manual,approved
你忙吗,侬忙伐,,148,true,question,高频问句,manual,approved
你想什么,侬想啥,,145,true,question,高频问句,manual,approved
你要什么,侬要啥,,145,true,question,高频问句,manual,approved
我们一起去,阿拉一道去,我们一块去,160,true,phrase,共同动作,manual,approved
我们去玩,阿拉去白相,,156,true,phrase,共同动作,manual,approved
我们回家吧,阿拉转去伐,,154,true,phrase,共同动作,manual,approved
我们明天见,阿拉明朝再会,,152,true,courtesy,共同动作,manual,approved
我们现在走吧,阿拉现在走伐,,148,true,phrase,共同动作,manual,approved
你们好,侬伲好,,156,true,greeting,群体问候,manual,approved
你们好吗,侬伲好伐,,156,true,greeting,群体问候,manual,approved
你们今天回家吗,侬伲今朝转去伐,,148,true,question,群体问句,manual,approved
你们知道吗,侬伲晓得伐,,148,true,question,群体问句,manual,approved
他回家了,伊转去了,,148,true,phrase,状态表达,manual,approved
她回家了,伊转去了,,148,true,phrase,状态表达,manual,approved
今天怎么这么冷,今朝哪能介冷,,152,true,weather,天气问句,manual,approved
今天怎么这么热,今朝哪能介热,,152,true,weather,天气问句,manual,approved
今天真热,今朝真热,,142,true,weather,天气表达,manual,approved
今天真冷,今朝真冷,,142,true,weather,天气表达,manual,approved
今天天气很好,今朝天气蛮好,,145,true,weather,天气表达,manual,approved
明天天气很好,明朝天气蛮好,,145,true,weather,天气表达,manual,approved
昨天很忙,昨朝老忙,,140,true,life,时间表达,manual,approved
明天很忙,明朝老忙,,140,true,life,时间表达,manual,approved
今天很开心,今朝老开心,,142,true,emotion,情绪表达,manual,approved
昨天很开心,昨朝老开心,,142,true,emotion,情绪表达,manual,approved
明天回家,明朝转去,,145,true,phrase,时间表达,manual,approved
今天回家,今朝转去,,145,true,phrase,时间表达,manual,approved
昨天回家了,昨朝转去了,,145,true,phrase,时间表达,manual,approved
今天出去玩,今朝出去白相,,145,true,phrase,生活表达,manual,approved
我们今天出去玩,阿拉今朝出去白相,,148,true,phrase,生活表达,manual,approved
你今天出去玩,侬今朝出去白相,,148,true,phrase,生活表达,manual,approved
我不知道怎么办,吾勿晓得哪能办,,158,true,response,高频短句,manual,approved
你不知道吗,侬勿晓得伐,,156,true,question,高频短句,manual,approved
我不认识他,吾勿认得伊,,156,true,phrase,高频短句,manual,approved
你不认识我吗,侬勿认得吾伐,,156,true,question,高频短句,manual,approved
我们都很好,阿拉侪蛮好,,152,true,response,高频短句,manual,approved
大家都很好,大家侪蛮好,,148,true,response,高频短句,manual,approved
谢谢你们,谢谢侬伲,,150,true,courtesy,礼貌表达,manual,approved
谢谢大家,谢谢大家,,126,true,courtesy,礼貌表达,manual,approved
请你帮忙,请侬帮忙,,145,true,courtesy,请求表达,manual,approved
请帮帮忙,请帮帮忙,,138,true,courtesy,请求表达,manual,approved
帮我一下,帮吾一歇,,145,true,courtesy,请求表达,manual,approved
请等一下,请等一歇,,145,true,courtesy,请求表达,manual,approved
你等一下,侬等一歇,,145,true,phrase,请求表达,manual,approved
我等一下,吾等一歇,,145,true,phrase,请求表达,manual,approved
别着急，我们慢慢来,勿要急，阿拉慢慢来,,150,true,response,安慰表达,manual,approved
别担心，没关系,勿要担心，呒没关系,,150,true,response,安慰表达,manual,approved
真的很好,真个蛮好,,145,true,response,高频短句,manual,approved
真没办法,真呒没办法,,145,true,response,高频短句,manual,approved
就这样吧,就介样伐,,138,true,response,高频短句,manual,approved
先这样吧,先介样伐,,138,true,response,高频短句,manual,approved
我先走了,吾先走了,,140,true,courtesy,告别表达,manual,approved
你先走吧,侬先走伐,,140,true,courtesy,告别表达,manual,approved
我们先走了,阿拉先走了,,140,true,courtesy,告别表达,manual,approved
